title,source,link asli,published,content,category,sentimen
TikTok raises minimum user age in Indonesia for child safety - ANTARA News Bali,ANTARA News Bali,https://bali.antaranews.com/berita/403417/tiktok-raises-minimum-user-age-in-indonesia-for-child-safety,2026-04-14 11:19:15,,Regulasi,Netral
TikTok Indonesia Resmi Umumkan Tutup Fitur TikTok Shop Hari Ini! - Jawa Pos,Jawa Pos,https://www.jawapos.com/aplikasi/2310040011/tiktok-indonesia-resmi-umumkan-tutup-fitur-tiktok-shop-hari-ini,2026-04-12 16:57:43,,Isu,Negatif
Konten sebagai Penggerak Kinerja: Strategi Penjual di Tokopedia & TikTok Shop LIVE - Neraca.co.id,Neraca.co.id,https://www.neraca.co.id/article/235666/konten-sebagai-penggerak-kinerja-strategi-penjual-di-tokopedia-tiktok-shop-live,2026-04-11 15:50:09,,Strategi,Positif
"LIVE Tokopedia–TikTok Shop Ditonton 38 Miliar Kali, Transaksi Melonjak 15x - SWA.co.id",SWA.co.id,https://swa.co.id/read/471326/live-tokopediatiktok-shop-ditonton-38-miliar-kali-transaksi-melonjak-15x,2026-04-12 14:45:00,,Bisnis,Positif
Konten Jadi Mesin Penggerak Penjualan di Tokopedia dan TikTok Shop - kontan.co.id,kontan.co.id,https://industri.kontan.co.id/news/konten-jadi-mesin-penggerak-penjualan-di-tokopedia-dan-tiktok-shop,2026-04-11 14:02:56,,Strategi,Positif
usmile Indonesia Berhasil Dominasi Kategori Premium Oral Care di TikTok Shop - Marketing.co.id,Marketing.co.id,https://marketing.co.id/usmile-indonesia-berhasil-dominasi-kategori-premium-oral-care-di-tiktok-shop/,2026-04-09 10:23:55,,Bisnis,Positif
Indonesia Menjadi Pasar Terbesar Kedua bagi Tiktok Shop - Kompas.id,Kompas.id,https://www.kompas.id/artikel/indonesia-menjadi-pasar-terbesar-kedua-bagi-tiktok-shop,2026-02-12 08:00:00,,Bisnis,Positif
usmile Indonesia Jadi Top Premium Oral Care Brand di TikTok Shop - Kabar DKI - Kabar DKI,Kabar DKI,https://dki.pikiran-rakyat.com/lifestyle/pr-30910129253/usmile-indonesia-jadi-top-premium-oral-care-brand-di-tiktok-shop,2026-04-09 06:17:26,,Bisnis,Positif
Strategi Konten Dongkrak Penjualan di Tokopedia dan TikTok Shop - Cobisnis,Cobisnis,https://cobisnis.com/strategi-konten-dongkrak-penjualan-di-tokopedia-dan-tiktok-shop/,2026-04-10 14:00:00,,Strategi,Positif
"Bangun Ekosistem Terintegrasi, Tokopedia dan TikTok Shop Dorong Pertumbuhan UMKM - GenPI.co - GenPI.co",GenPI.co,https://www.genpi.co/ekonomi/278256/bangun-ekosistem-terintegrasi-tokopedia-dan-tiktok-shop-dorong-pertumbuhan-umkm,2026-04-10 16:50:00,,Strategi,Positif
